name,category,language,rank,url,contentType
Computational Complexity Blog,Computers,en,1,https://blog.computationalcomplexity.org/feeds/posts/default?alt=rss,article
MIT Technology Review,Computers,en,2,https://www.technologyreview.com/feed/,article
David Eppstein Blog,Computers,en,3,https://11011110.github.io/blog/feed.xml,article
Google Research Blog,Computers,en,4,https://research.google/blog/rss/,article
Computing Education Research Blog,Computers,en,5,https://computinged.wordpress.com/feed/,article
Computer Science Teacher Blog,Computers,en,6,https://feeds.feedburner.com/ComputerScienceTeacher,article
Alan Winfield,Computers,en,7,https://alanwinfield.blogspot.com/feeds/posts/default?alt=rss,article
Combinatorics And More,Computers,en,8,https://gilkalai.wordpress.com/feed/,article
What's new,Computers,en,9,https://terrytao.wordpress.com/feed/,article
Knowing and Doing Blog,Computers,en,10,https://www.cs.uni.edu/~wallingf/blog/atom.xml,article
Scott Aaronson Blog,Computers,en,11,https://scottaaronson.blog/?feed=rss2,article
Windows On Theory Blog,Computers,en,12,https://windowsontheory.org/feed/,article
Computer Science Simplified,Computers,en,13,https://computersciencesimplified.substack.com/feed,article
University of St Andrews Computer Science Blog,Computers,en,14,https://blogs.cs.st-andrews.ac.uk/csblog/feed/,article
Computational Complexity,Computers,en,15,https://blog.computationalcomplexity.org/feeds/posts/default,article
Computer Science Teacher,Computers,en,16,https://blog.acthompson.net/feeds/posts/default,article
MIT News » Computer science and technology,Computers,en,17,https://news.mit.edu/rss/topic/computers,article
cs4fn,Computers,en,18,https://cs4fn.blog/feed/,article
ScienceDaily » : Computer Science,Computers,en,19,https://www.sciencedaily.com/rss/computers_math/computer_science.xml,article
Mostly nerdless » Computer Science,Computers,en,20,https://mostlynerdless.de/feed/,article
Department of Computer Science,Computers,en,21,https://lbscomputerscience.blogspot.com/feeds/posts/default,article
Journal of Computer Science,Computers,en,22,https://thescipub.com/feed/jcs/current.rss,article
Mostafa Technical Blog » Computer Science,Computers,en,23,https://mshaeri.com/blog/category/computer-science/feed/,article
Bertrand Meyer's technology+ blog » Computer Science,Computers,en,24,http://feeds.feedburner.com/BertrandMeyer,article
Kalvium Matters » Computer Science,Computers,en,25,https://blog.kalvium.com/category/computer-science/feed/,article
Prof. Ajay Pashankar's Blog » Computer Science,Computers,en,26,https://www.profajaypashankar.com/category/computer-science/feed/,article
The Conversation » Computer Science,Computers,en,27,https://theconversation.com/topics/computer-science-6612/articles.atom,article
Tech Xplore » Computer Sciences,Computers,en,28,https://techxplore.com/rss-feed/computer-sciences-news/,article
Semantic Domain Blog,Computers,en,29,https://semantic-domain.blogspot.com/feeds/posts/default?alt=rss,article
David Walsh,Computers,en,30,https://davidwalsh.name/feed,article
Embedded in Academia,Computers,en,31,https://blog.regehr.org/feed,article
Turing's Invisible Hand Blog,Computers,en,32,https://agtb.wordpress.com/feed/,article
In Theory,Computers,en,33,https://lucatrevisan.wordpress.com/feed/,article
Bits and Pieces,Computers,en,34,https://harry-lewis.blogspot.com/feeds/posts/default?alt=rss,article
Adventures in Computation,Computers,en,35,https://aaronsadventures.blogspot.com/feeds/posts/default?alt=rss,article
My Biased Coin Blog,Computers,en,36,https://mybiasedcoin.blogspot.com/feeds/posts/default?alt=rss,article
Process Algebra Diary,Computers,en,37,https://processalgebra.blogspot.com/feeds/posts/default?alt=rss,article
The Leisure of the Theory Class,Computers,en,38,https://theoryclass.wordpress.com/feed/,article
Confessions of a Code Addict,Computers,en,39,https://blog.codingconfessions.com/feed,article
Computer Science,Computers,en,40,https://computerscience1246.blogspot.com/feeds/posts/default,article
Jeremy Kun,Computers,en,41,https://www.jeremykun.com/index.xml,article
CodeMonkey Blog,Computers,en,42,https://www.codemonkey.com/feed/,article
RJ Lipton,Computers,en,43,https://rjlipton.com/feed/,article
GeeksforGeeks,Computers,en,44,https://www.geeksforgeeks.org,article
Panos Ipeirotis Blog,Computers,en,45,http://feeds.feedburner.com/AComputerScientistInABusinessSchool/,article
