name,category,language,rank,url,contentType
New Scientist Magazine,Science,en,1,https://www.newscientist.com/feed/home/?cmpid=RSS%7CNSNS-Home,article
Science News Magazine,Science,en,2,https://www.sciencenews.org/feed,article
ScienceBlogs,Science,en,3,https://scienceblogs.com/rss.xml,article
"Space.com: NASA, Space Exploration and Astronomy News",Science,en,4,https://www.space.com/feeds.xml,article
The Science Notes,Science,en,5,https://thesciencenotes.com/feed/,article
Arácnido,Science,en,6,https://www.aracnidotaxonomy.com/feeds/posts/default,article
Science Featured Series,Science,en,7,https://sciencefeatured.com/feed/,article
Starts With A Bang!,Science,en,8,https://medium.com/feed/starts-with-a-bang,article
Earth University,Science,en,9,https://news.climate.columbia.edu/feed/,article
LiveScience,Science,en,10,https://www.livescience.com/feeds.xml,article
Community of European Solar Radio Astronomers,Science,en,11,https://www.astro.gla.ac.uk/users/eduard/cesra/?feed=rss2,article
ScienceDaily,Science,en,12,https://www.sciencedaily.com/rss/,article
Phys.org » Chemistry,Science,en,13,https://phys.org/rss-feed/chemistry-news/,article
SciTechDaily » Physics,Science,en,14,https://scitechdaily.com/feed/,article
It Ain't Magic,Science,en,15,https://itaintmagic.riken.jp/feed/,article
Watts Up With That,Science,en,16,https://wattsupwiththat.com/feed/,article
ZME Science,Science,en,17,https://www.zmescience.com/feed/,article
Futurity.org,Science,en,18,https://www.futurity.org/feed/,article
Knowable Magazine,Science,en,19,https://knowablemagazine.org/rss,article
Science Sparks,Science,en,20,https://www.science-sparks.com/feed/,article
Science 2.0,Science,en,21,https://www.science20.com/news/rss.xml,article
Digital Science Blog,Science,en,22,https://www.digital-science.com/feed/,article
Novataxa | Species New to Science,Science,en,23,https://novataxa.blogspot.com/feeds/posts/default?alt=rss,article
Pubrica,Science,en,24,https://pubrica.com/academy/feed/,article
The Last Word On Nothing,Science,en,25,https://lastwordonnothing.com/feed/,article
The Daily Galaxy: News from Planet Earth & Beyond,Science,en,26,https://dailygalaxy.com/feed/,article
Science4Fun | Learn Science with Experiments and Topics,Science,en,27,https://science4fun.info/feed/,article
RealClimate,Science,en,28,https://feeds.feedburner.com/realclimate/HYVV,article
Flip Science,Science,en,29,https://www.flipscience.ph/feed/,article
Science and Enterprise,Science,en,30,https://sciencebusiness.technewslit.com/?feed=rss2,article
The Neurocritic,Science,en,31,https://neurocritic.blogspot.com/feeds/posts/default?alt=rss,article
Science News Explores,Science,en,32,https://www.snexplores.org/feed,article
SciencePOD Blog,Science,en,33,https://sciencepod.net/feed/,article
Lake Scientist,Science,en,34,https://www.lakescientist.com/feed/,article
Symmetry Magazine,Science,en,35,https://www.symmetrymagazine.org/feed,article
IndiaBioscience,Science,en,36,https://indiabioscience.org/feed,article
Explorations in Science With Dr. Michio Kaku,Science,en,37,https://feeds.feedburner.com/mkaku,article
Earth Learning Idea,Science,en,38,https://feeds.feedburner.com/EarthLearningIdea,article
Scientific Inquirer,Science,en,39,https://scientificinquirer.com/feed/,article
Elephant in the Lab,Science,en,40,https://elephantinthelab.org/feed/,article
Universe Today,Science,en,41,https://www.universetoday.com/rss.xml,article
PyroFarms | PyroFarms Blue Light Special,Science,en,42,https://pyrofarms.com/blogs/pyrofarms-blue-light-special.atom,article
The Scientific World | Let's have a moment of science,Science,en,43,https://www.scientificworldinfo.com/feeds/posts/default?alt=rss,article
Science Media Centre,Science,en,44,https://www.sciencemediacentre.co.nz/feed/,article
ScienceSpaceRobots,Science,en,45,https://feeds.feedburner.com/sciencespacerobots,article
Civic Science Media Lab,Science,en,46,https://civicsciencemedia.org/feed/,article
DNAtured Journal,Science,en,47,https://www.dnatured.com/feed/,article
Sciences In the Mural Of Life,Science,en,48,https://uvachemistry.com/feed/,article
Susan Berk Koch,Science,en,49,https://susanberkkoch.com/feed/,article
ESA » Rocket Science,Science,en,50,https://blogs.esa.int/rocketscience/feed/,article
This Week in Science The Kickass Science Podcast,Science,en,51,https://feeds.feedburner.com/twis/science/,article
Evincism,Science,en,52,https://evincism.com/feed/,article
Research in English,Science,en,53,https://researchinenglish.com/topic/new.rss,article
ScienceHook,Science,en,54,https://sciencehook.com/,article
Impact Science,Science,en,55,https://www.impact.science/blog/feed/,article
Independent Science News,Science,en,56,https://www.independentsciencenews.org/feed/,article
UA Magazine,Science,en,57,https://www.ua-magazine.com/feed/,article
[ weird things ],Science,en,58,https://worldofweirdthings.com/feed,article
Things We Don't Know,Science,en,59,https://blog.thingswedontknow.com/feeds/posts/default?alt=rss,article
Hakai Magazine,Science,en,60,https://hakaimagazine.com/feed/,article
BioSerendipity,Science,en,61,https://www.bioserendipity.com/feed/,article
Redorbit,Science,en,62,https://www.redorbit.com/feed,article
The Dynamic Frequency,Science,en,63,https://www.thedynamicfrequency.org/feeds/posts/default?alt=rss,article
Small Screen Science,Science,en,64,https://www.smallscreenscience.co.uk/blog?format=rss,article
Unifying Quantum and Relativistic Theories,Science,en,65,https://www.theimagineershome.com/blog/feed/,article
Viziscience,Science,en,66,https://viziscience.com/feed/,article
Science You Can Bring Home To Mom,Science,en,67,https://anyonecanscience.com/index.php/feed/,article
DanDk7 Science Facts,Science,en,68,https://feeds.feedburner.com/Dandk7ScienceFacts,article
Frontier Scientists,Science,en,69,https://feeds.feedburner.com/FrontierScientists,article
Awesci | Science Everyday,Science,en,70,https://awesci.com/feed/,article
The Scientific Triangle,Science,en,71,https://thescientifictriangle.com/feed/,article
Mind Hacks,Science,en,72,https://mindhacks.com/feed/,article
SciBlogs,Science,en,73,https://sciblogs.co.nz/feed/,article
The Hindu » Science,Science,en,74,https://www.thehindu.com/sci-tech/science/feeder/default.rss,article
UPI.com » Science,Science,en,75,https://rss.upi.com/news/science_news.rss,article
Daily Mail UK » Science,Science,en,76,https://www.dailymail.co.uk/sciencetech/index.rss,article
Science Media Centre,Science,en,77,https://www.sciencemediacentre.org/feed/,article
Sci.News,Science,en,78,https://www.sci.news/feed,article
The Guardian » Science,Science,en,79,https://www.theguardian.com/science/rss,article
ZME Science,Science,en,80,https://www.zmescience.com/feed/,article
WIRED » Science,Science,en,81,https://www.wired.com/category/science/feed,article
Phys.org,Science,en,82,https://phys.org/rss-feed/,article
News Medical,Science,en,83,https://www.news-medical.net/syndication.axd?format=rss,article
Advanced Science News,Science,en,84,https://www.advancedsciencenews.com/feed/,article
U.S. National Science Foundation News,Science,en,85,https://www.nsf.gov/rss/rss_www_news.xml,article
The Independent » Science,Science,en,86,https://www.independent.co.uk/news/science/rss,article
The Indian Express » Science News,Science,en,87,https://indianexpress.com/section/technology/science/feed/,article
Yahoo News » Science,Science,en,88,https://news.yahoo.com/rss/science,article
Ars Technica » Science,Science,en,89,https://arstechnica.com/science/feed/,article
New Atlas » Science,Science,en,90,https://newatlas.com/science/index.rss,article
NPR » Science,Science,en,91,https://feeds.npr.org/1007/rss.xml,article
CBS News » Science,Science,en,92,https://www.cbsnews.com/latest/rss/science,article
Nautilus Magazine,Science,en,93,https://nautil.us/feed/,article
sciencenews.dk,Science,en,94,https://sciencenews.dk/en/rss,article
Daily Express » Science,Science,en,95,https://www.express.co.uk/posts/rss/151/science,article
OpenMind Magazine,Science,en,96,https://www.openmindmag.org/feed.rss,article
Vox » Science,Science,en,97,https://www.vox.com/rss/science/index.xml,article
Popular Mechanics » Science,Science,en,98,https://www.popularmechanics.com/rss/science.xml,article
The Week » Science,Science,en,99,https://theweek.com/feeds/tag/science,article
The New York Times » Science,Science,en,100,https://www.nytimes.com/svc/collections/v1/publish/https://www.nytimes.com/international/section/science/rss.xml,article
